experiment_id,batch_id,experiment_name,method,dataset_size,num_queries,sample_size_requested,budget,seed,utility_metric,utility,cosine_proxy_utility_eval,jaccard_precision_utility_eval,runtime_seconds,peak_memory_mb,selected_ids,selected_original_ids,status,message,diagnostics_path,config_path,git_commit,git_dirty,python_version,hardware_notes
budget_sensitivity_20260609T115734Z_0001,budget_sensitivity_20260609T115734Z,budget_sensitivity,B,10000,439,10000,1,0,jaccard_precision_utility,0.003416856492027335,0.18197649758057619,0.003416856492027335,0.018902000010712072,0.31334686279296875,9815,40861,success,,experiments\results\budget_sensitivity_20260609T115734Z\diagnostics\budget_sensitivity_20260609T115734Z_0001_b.json,experiments\configs\budget_sensitivity.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_20260609T115734Z_0002,budget_sensitivity_20260609T115734Z,budget_sensitivity,B,10000,439,10000,3,0,jaccard_precision_utility,0.008272253472383638,0.26913817979078947,0.008272253472383638,0.02198990000761114,0.31310272216796875,"9815,1704,7022","40861,7316,29188",success,,experiments\results\budget_sensitivity_20260609T115734Z\diagnostics\budget_sensitivity_20260609T115734Z_0002_b.json,experiments\configs\budget_sensitivity.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_20260609T115734Z_0003,budget_sensitivity_20260609T115734Z,budget_sensitivity,B,10000,439,10000,5,0,jaccard_precision_utility,0.012828062128420083,0.28683220071333265,0.012828062128420083,0.017617999983485788,0.31310272216796875,"9815,1704,7022,1167,1730","40861,7316,29188,5003,7390",success,,experiments\results\budget_sensitivity_20260609T115734Z\diagnostics\budget_sensitivity_20260609T115734Z_0003_b.json,experiments\configs\budget_sensitivity.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_20260609T115734Z_0004,budget_sensitivity_20260609T115734Z,budget_sensitivity,B,10000,439,10000,10,0,jaccard_precision_utility,0.0242175837685112,0.33471024967913116,0.0242175837685112,0.023969700007000938,0.31310272216796875,"9815,1704,7022,1167,1730,1743,2019,3399,3938,4669","40861,7316,29188,5003,7390,7450,8500,14207,16397,19349",success,,experiments\results\budget_sensitivity_20260609T115734Z\diagnostics\budget_sensitivity_20260609T115734Z_0004_b.json,experiments\configs\budget_sensitivity.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_20260609T115734Z_0005,budget_sensitivity_20260609T115734Z,budget_sensitivity,B,10000,439,10000,25,0,jaccard_precision_utility,0.04811739308396326,0.37885188566340633,0.04811739308396326,0.02004309999756515,0.31310272216796875,"9815,1704,7022,1167,1730,1743,2019,3399,3938,4669,5838,7724,8191,9703,737,1212,1528,9237,3276,1643,8246,8330,1292,2136,3333","40861,7316,29188,5003,7390,7450,8500,14207,16397,19349,24286,32092,34013,40406,3225,5230,6492,38495,13589,6972,34256,34595,5555,8990,13861",success,,experiments\results\budget_sensitivity_20260609T115734Z\diagnostics\budget_sensitivity_20260609T115734Z_0005_b.json,experiments\configs\budget_sensitivity.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_20260609T115734Z_0006,budget_sensitivity_20260609T115734Z,budget_sensitivity,D,10000,439,10000,1,0,cosine_proxy_utility,0.2764542405413272,0.2764542405413272,7.831955440155896e-05,2.675089399999706,390.93119525909424,2814,11708,success,,experiments\results\budget_sensitivity_20260609T115734Z\diagnostics\budget_sensitivity_20260609T115734Z_0006_d.json,experiments\configs\budget_sensitivity.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_20260609T115734Z_0007,budget_sensitivity_20260609T115734Z,budget_sensitivity,D,10000,439,10000,3,0,cosine_proxy_utility,0.3466248601383777,0.3466248601383777,0.00037494858641921386,7.304607600002782,390.930908203125,"2814,6685,3643","11708,27758,15133",success,,experiments\results\budget_sensitivity_20260609T115734Z\diagnostics\budget_sensitivity_20260609T115734Z_0007_d.json,experiments\configs\budget_sensitivity.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_20260609T115734Z_0008,budget_sensitivity_20260609T115734Z,budget_sensitivity,D,10000,439,10000,5,0,cosine_proxy_utility,0.3689658246076602,0.3689658246076602,0.0004939874577543598,11.774320600001374,390.930908203125,"2814,6685,3643,4723,4631","11708,27758,15133,19565,19225",success,,experiments\results\budget_sensitivity_20260609T115734Z\diagnostics\budget_sensitivity_20260609T115734Z_0008_d.json,experiments\configs\budget_sensitivity.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_20260609T115734Z_0009,budget_sensitivity_20260609T115734Z,budget_sensitivity,D,10000,439,10000,10,0,cosine_proxy_utility,0.39954563320812564,0.39954563320812564,0.0014342755321051833,23.017658700002357,390.930908203125,"2814,6685,3643,4723,4631,8595,9915,8106,531,8293","11708,27758,15133,19565,19225,35668,41225,33673,2225,34447",success,,experiments\results\budget_sensitivity_20260609T115734Z\diagnostics\budget_sensitivity_20260609T115734Z_0009_d.json,experiments\configs\budget_sensitivity.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_20260609T115734Z_0010,budget_sensitivity_20260609T115734Z,budget_sensitivity,D,10000,439,10000,25,0,cosine_proxy_utility,0.44356608421831195,0.44356608421831206,0.008446370880505791,56.645689400000265,390.930908203125,"2814,6685,3643,4723,4631,8595,9915,8106,531,8293,9718,5726,7530,3396,2973,1280,3420,6058,5702,6302,3276,6561,6581,9815,9086","11708,27758,15133,19565,19225,35668,41225,33673,2225,34447,40482,23804,31338,14193,12382,5508,14300,25139,23691,26177,13589,27278,27339,40861,37771",success,,experiments\results\budget_sensitivity_20260609T115734Z\diagnostics\budget_sensitivity_20260609T115734Z_0010_d.json,experiments\configs\budget_sensitivity.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
